42.33989,-71.16677
42.33984,-71.16678
42.33992,-71.16613
42.33995,-71.16579
42.34001,-71.1652
42.34006,-71.16401
42.34004,-71.16295
42.33998,-71.1609
42.33995,-71.16021
42.3399,-71.15973
42.33983,-71.15913
42.33968,-71.15836
42.33941,-71.15735
42.3392,-71.15673
42.33903,-71.15628
42.33877,-71.15571
42.33817,-71.15444
42.33802,-71.15397
42.33796,-71.15352
42.33796,-71.15341
42.33801,-71.15323
42.33808,-71.15309
42.33817,-71.15295
42.33838,-71.15271
42.33861,-71.15251
42.33922,-71.15221
42.33972,-71.15185
42.34009,-71.1515
42.34033,-71.15122
42.34061,-71.15082
42.34096,-71.15026
42.3411,-71.14994
42.34124,-71.14956
42.34139,-71.149
42.34146,-71.14841
42.34144,-71.14737
42.34144,-71.14681
42.34146,-71.14651
42.34155,-71.14593
42.34172,-71.14528
42.34183,-71.14499
42.342,-71.1446
42.3422,-71.1442
42.34244,-71.14386
42.34267,-71.14359
42.34304,-71.14321
42.34367,-71.14274
42.34566,-71.14139
42.34608,-71.14112
42.34659,-71.14085
42.34701,-71.14067
42.34722,-71.14062
42.3475,-71.14058
42.34793,-71.14049
42.34817,-71.1404
42.34836,-71.14028
42.34849,-71.14015
42.34859,-71.14001
42.34869,-71.13983
42.34879,-71.1395
42.34883,-71.13914
42.34879,-71.13878
42.34856,-71.13806
42.34818,-71.13692
42.3481,-71.13655
42.34808,-71.13614
42.34811,-71.13576
42.34815,-71.13555
42.34822,-71.1353
42.34835,-71.13499
42.34943,-71.13274
42.35027,-71.13094
42.35044,-71.13054
42.35051,-71.13022
42.35053,-71.12992
42.3505,-71.12958
42.35041,-71.12853
42.35042,-71.12796
42.3505,-71.12741
42.35063,-71.12692
42.35071,-71.12671
42.35082,-71.12648
42.35108,-71.12599
42.35136,-71.12554
42.35153,-71.1253
42.35189,-71.12482
42.35198,-71.1247
42.35208,-71.12454
42.35203,-71.12405
42.35134,-71.11829
42.35045,-71.11101
42.35038,-71.11034
42.35025,-71.10942
42.34972,-71.10505
42.349,-71.09897
